Saludos usuario Premium limitado con ID 90, has buscado la palabra 'Mal' en los archivos:
../resources/Libros/La-última-sirena.txt
../resources/Libros/prueba.txt


RESULTADOS:

Buscador: 3 Hilo: 1 no pudo encontrar ningun resultado en el archivo../resources/Libros/prueba.txt

Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 232 --> dolor Mal el
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 239 --> no_word Mal nacida
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 244 --> mi Mal la
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 352 --> lugar Mal con
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 505 --> hab� Mal en
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 543 --> No Mal eas,
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 552 --> m Mal sea
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 581 --> no_word Mal via...
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 584 --> no_word Mal Digo
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 594 --> trueno Mal jía,
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 614 --> instante Mal y
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 621 --> y Mal Una
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 684 -->  m Mal jaro,
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 688 --> m Mal canto
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 719 --> no_word Mal �lo
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 816 --> no_word Mal pero
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 937 --> con Mal no_word
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 947 --> espíri Mal en
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 1126 --> ños Mal y
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 1257 --> sangre Mal no_word
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 1293 --> sientes Mal l
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 1469 --> tienes Mal no_word
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 1483 --> mal c Mal como
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 1490 --> casi Mal su
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 1521 --> no_word Mal bía
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 1611 --> no_word Mal Io
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 1860 --> mal Mal porque
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 1876 --> no_word Mal bién.
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 2258 --> ni� Mal Esa
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 2403 --> e m Mal alerta
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 2457 --> y Mal luego
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 2512 --> serio Mal no_word
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 2546 --> formal Mal con
Buscador: 3 Hilo: 0 Archivo: ../resources/Libros/La-última-sirena.txt Linea: 2647 --> la Mal ería
